ID,Round,camId,Direction
1Bus,i+1,1101,Ul-UR-UL-UL-UR-UR-UR-UL-UR-UR-UL-UR-UR-UL-UR-*
2Bus,i+1,1110,DR-DL-DR-DL-DR-DR-DL-DL-DR-DL-DR-DL-*
3Bus,i+1,1010,DL-DL-DR-DR-DL-DR-DR-*
4Bus,i+2,1101,Ul-UR-UR-UR-UL-*
5Bus,i+2,1110,DL-DL-DR-*
6Bus,i+2,1010,
7Bus,i+3,1101,UL-UR-UR-UR-UL-UR-UR-UL-UR-UR-UL-UL-UL-UL-UL-*
8Bus,i+3,1110,DL-DR-DL-DL-DR-DL-DR-DL-DR-DR-DL-DR-*
9Bus,i+3,1010,DR-DL-DR-DR-DL-DL-DR-DL-DL-DR-*
10Bus,i+4,1101,UR-UR-UL-UL-UR-UR-UL-UL-UR-UR-UR-UR-UR-UL-UR-UL-UR-UR-*
11Bus,i+4,1110,DL-DR-DL-DL-DR-DR-DL-DR-DL-DR-DR-DL-DR-DR-*
12Bus,i+4,1010,DL-DL-DR-DR-DL-DR-DR-DL-DL-DL-DR-*
13Bus,i+5,1101,UL-UL-UR-UR-UL-UR-UR-UL-UL-UR-UL-UR-UR-UR-UR-UR-UL-UL-*
14Bus,i+5,1110,DL-DR-DL-DL-DR-DR-DL-DR-DR-DR-*
15Bus,i+5,1010,DR-DR-DL-*
