ID,Round,camId,Direction
1Tr,j+1,2011,DR-DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
2Tr,j+1,2110,DL-DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-*
3Tr,j+1,2111,UL-DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-*
4Tr,j+1,2011,DR-DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-*
5Tr,j+1,2101,DL-DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
6Tr,j+1,2010,UL-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
7Tr,j+1,2000,UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-UL-UL-UR-UR-UL-UL-DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-*
8Tr,j+1,2001,DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-*
9Tr,j+1,2012,UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-*
10Tr,j+1,2301,DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-*
