ID,Round,camId,Direction
1T,k+1,3101,UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-*
2T,k+1,3110,Ul-DR-DL-UR-UL-UR-DR-DL-UL-UL-UR-UR-UL-DR-DL-DL-DR-DL-*
3T,k+1,3010,DR-UL-UR-UR-DR-DL-DR-DR-DR-DL-DR-UL-UR-UR-UR-UL-UL-DR-DL-DR-UR-UR-DR-DL-DR-DR-DR-DL-DR-UL-UR-UR-UR-UL-UL-DR-DL-DR-*
4T,k+1,3110,DL-UR-UR-DR-DL-DR-DR-DR-DL-DR-UL-UR-UR-UR-UL-UL-DR-DL-DR-UR-UR-DR-DL-DR-DR-DR-DL-DR-UL-UR-UR-UR-UL-UL-DR-DL-DR-UR-UR-DR-DL-DR-DR-DR-DL-DR-UL-UR-UR-UR-UL-UL-*
5T,k+1,3111,Ul-UR-UR-DR-DL-DR-DR-DR-DL-DR-UL-UR-UR-UR-UL-UL-DR-DL-DR-UR-UR-DR-DL-DR-DR-DR-DL-DR-UL-UR-UR-UR-UL-UL-DR-DL-DR-UR-UR-DR-DL-DR-DR-DR-DL-DR-UL-UR-UR-UR-UL-UL-DR-*
6T,k+1,3011,DR-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-*
7T,k+2,3101,Ul-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL*
8T,k+2,3110,UR-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-*
9T,k+2,3010,DL-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-*
10T,k+2,3110,UL-DR-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-DR-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-*
11T,k+2,3111,DR-DR-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-DR-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-*
12T,k+2,3011,DL-DR-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-DR-UL-UR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL
13T,k+3,3101,DR-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
14T,k+3,3110,UL-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
15T,k+3,3010,DL-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
16T,k+3,3110,DL-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-UL-DR-UR-UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
17T,k+3,3111,UL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL*
18T,k+3,3011,UR-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
